size: 1024 cycles: 1578398 cycles_per_loc:   7.70702 L1miss: 802 L1miss_frac:   0.00392 L2miss: 744 L2miss_frac:   0.00363
size: 2048 cycles: 2778713 cycles_per_loc:   6.78397 L1miss: 61 L1miss_frac:   0.00015 L2miss: 83 L2miss_frac:   0.00020
size: 3072 cycles: 4177214 cycles_per_loc:   6.79885 L1miss: 2874 L1miss_frac:   0.00468 L2miss: 117 L2miss_frac:   0.00019
size: 4096 cycles: 5584415 cycles_per_loc:   6.81691 L1miss: 6480 L1miss_frac:   0.00791 L2miss: 170 L2miss_frac:   0.00021
size: 5120 cycles: 6974186 cycles_per_loc:   6.81073 L1miss: 128424 L1miss_frac:   0.12541 L2miss: 140 L2miss_frac:   0.00014
size: 6144 cycles: 8384113 cycles_per_loc:   6.82301 L1miss: 154019 L1miss_frac:   0.12534 L2miss: 124 L2miss_frac:   0.00010
size: 7168 cycles: 9780952 cycles_per_loc:   6.82265 L1miss: 179625 L1miss_frac:   0.12530 L2miss: 157 L2miss_frac:   0.00011
size: 8192 cycles: 11177103 cycles_per_loc:   6.82196 L1miss: 205217 L1miss_frac:   0.12525 L2miss: 157 L2miss_frac:   0.00010
size: 9216 cycles: 12575666 cycles_per_loc:   6.82274 L1miss: 230815 L1miss_frac:   0.12523 L2miss: 288 L2miss_frac:   0.00016
size: 10240 cycles: 14104277 cycles_per_loc:   6.88685 L1miss: 256408 L1miss_frac:   0.12520 L2miss: 1270 L2miss_frac:   0.00062
size: 11264 cycles: 15528458 cycles_per_loc:   6.89296 L1miss: 282008 L1miss_frac:   0.12518 L2miss: 920 L2miss_frac:   0.00041
size: 12288 cycles: 16924823 cycles_per_loc:   6.88673 L1miss: 307629 L1miss_frac:   0.12517 L2miss: 559 L2miss_frac:   0.00023
size: 13312 cycles: 18319457 cycles_per_loc:   6.88081 L1miss: 333182 L1miss_frac:   0.12514 L2miss: 710 L2miss_frac:   0.00027
size: 14336 cycles: 20117160 cycles_per_loc:   7.01631 L1miss: 358706 L1miss_frac:   0.12511 L2miss: 12593 L2miss_frac:   0.00439
size: 15360 cycles: 21230184 cycles_per_loc:   6.91087 L1miss: 384221 L1miss_frac:   0.12507 L2miss: 2105 L2miss_frac:   0.00069
size: 16384 cycles: 22607805 cycles_per_loc:   6.89935 L1miss: 409824 L1miss_frac:   0.12507 L2miss: 1225 L2miss_frac:   0.00037
size: 17408 cycles: 24441622 cycles_per_loc:   7.02023 L1miss: 435370 L1miss_frac:   0.12505 L2miss: 33365 L2miss_frac:   0.00958
size: 18432 cycles: 25481272 cycles_per_loc:   6.91224 L1miss: 461027 L1miss_frac:   0.12506 L2miss: 5218 L2miss_frac:   0.00142
size: 19456 cycles: 26884224 cycles_per_loc:   6.90898 L1miss: 486618 L1miss_frac:   0.12506 L2miss: 99606 L2miss_frac:   0.02560
size: 20480 cycles: 28289809 cycles_per_loc:   6.90669 L1miss: 512255 L1miss_frac:   0.12506 L2miss: 103507 L2miss_frac:   0.02527
size: 21504 cycles: 29668839 cycles_per_loc:   6.89845 L1miss: 537944 L1miss_frac:   0.12508 L2miss: 100955 L2miss_frac:   0.02347
size: 22528 cycles: 31057436 cycles_per_loc:   6.89307 L1miss: 563520 L1miss_frac:   0.12507 L2miss: 104114 L2miss_frac:   0.02311
size: 23552 cycles: 32482114 cycles_per_loc:   6.89583 L1miss: 589161 L1miss_frac:   0.12508 L2miss: 105178 L2miss_frac:   0.02233
size: 24576 cycles: 33880471 cycles_per_loc:   6.89300 L1miss: 614733 L1miss_frac:   0.12507 L2miss: 158506 L2miss_frac:   0.03225
size: 25600 cycles: 35275738 cycles_per_loc:   6.88979 L1miss: 640343 L1miss_frac:   0.12507 L2miss: 157784 L2miss_frac:   0.03082
size: 26624 cycles: 36685225 cycles_per_loc:   6.88950 L1miss: 665950 L1miss_frac:   0.12507 L2miss: 160714 L2miss_frac:   0.03018
size: 27648 cycles: 38066875 cycles_per_loc:   6.88420 L1miss: 691561 L1miss_frac:   0.12507 L2miss: 160859 L2miss_frac:   0.02909
size: 28672 cycles: 39492488 cycles_per_loc:   6.88694 L1miss: 717158 L1miss_frac:   0.12506 L2miss: 257002 L2miss_frac:   0.04482
